"","ETH.group","year","sex","births"
"141","OTH","2022","person",6198.57755545606
"142","PAK","2022","person",40613.1887347028
"143","WBI","2022","person",478047.656780644
"144","WHO","2022","person",37018.3699002483
"145","BAN","2023","person",15097.3451090395
"146","BLA","2023","person",25462.3179691656
"147","BLC","2023","person",5785.17104550953
"148","CHI","2023","person",9584.5201227065
"149","IND","2023","person",30725.5553704833
"150","MIX","2023","person",44701.2673517249
"151","OAS","2023","person",16411.7918992603
"152","OBL","2023","person",4589.57137087713
"153","OTH","2023","person",6320.72045129813
"154","PAK","2023","person",41550.7909126785
"155","WBI","2023","person",475555.14873676
"156","WHO","2023","person",37417.699510069
"157","BAN","2024","person",15347.0822089808
"158","BLA","2024","person",25958.2774006281
"159","BLC","2024","person",5764.061360095
"160","CHI","2024","person",9779.63923656616
"161","IND","2024","person",30942.4499703784
"162","MIX","2024","person",45276.5404206865
"163","OAS","2024","person",16644.1756668655
"164","OBL","2024","person",4695.12185117694
"165","OTH","2024","person",6438.15787108445
"166","PAK","2024","person",42484.0675061316
"167","WBI","2024","person",472708.050856273
"168","WHO","2024","person",37775.8895833531
"169","BAN","2025","person",15588.9035086563
"170","BLA","2025","person",26445.9094034092
"171","BLC","2025","person",5741.29118032105
"172","CHI","2025","person",9925.01308384039
"173","IND","2025","person",31150.339625014
"174","MIX","2025","person",45828.2572815808
"175","OAS","2025","person",16869.0029575085
"176","OBL","2025","person",4799.15785400955
"177","OTH","2025","person",6551.23359714869
"178","PAK","2025","person",43404.2747520221
"179","WBI","2025","person",469648.942063936
"180","WHO","2025","person",38100.2263356853
"181","BAN","2026","person",15842.0835069302
"182","BLA","2026","person",26954.8552537316
"183","BLC","2026","person",5724.36221754798
"184","CHI","2026","person",10040.4903259264
"185","IND","2026","person",31398.360326126
"186","MIX","2026","person",46424.3987336727
"187","OAS","2026","person",17109.0750243366
"188","OBL","2026","person",4906.92232124145
"189","OTH","2026","person",6668.00676089975
"190","PAK","2026","person",44364.6104073924
"191","WBI","2026","person",467104.459921711
"192","WHO","2026","person",38445.3732372478
"193","BAN","2027","person",16116.8206339615
"194","BLA","2027","person",27493.407697535
"195","BLC","2027","person",5715.89251601764
"196","CHI","2027","person",10138.7131288914
"197","IND","2027","person",31710.008601214
"198","MIX","2027","person",47093.3760158273
"199","OAS","2027","person",17373.5835389656
"200","OBL","2027","person",5019.43724084052
"201","OTH","2027","person",6791.05995737044
"202","PAK","2027","person",45387.6839193343
"203","WBI","2027","person",465357.277947277
"204","WHO","2027","person",38832.5990530955
"205","BAN","2028","person",16399.4530825478
"206","BLA","2028","person",28024.9833172518
"207","BLC","2028","person",5708.74954189958
"208","CHI","2028","person",10215.5258488698
"209","IND","2028","person",32058.2591526899
"210","MIX","2028","person",47783.0172269572
"211","OAS","2028","person",17643.5517503199
"212","OBL","2028","person",5128.21458450569
"213","OTH","2028","person",6911.37367325739
"214","PAK","2028","person",46424.5204899032
"215","WBI","2028","person",463906.93568097
"216","WHO","2028","person",39223.3569325135
