"","ETH.group","year","sex","births"
"1","BAN","2011","person",12971.311550917
"2","BLA","2011","person",21226.236674748
"3","BLC","2011","person",6479.403914218
"4","CHI","2011","person",4440.717280863
"5","IND","2011","person",26853.36855695
"6","MIX","2011","person",36887.40116683
"7","OAS","2011","person",13711.860823339
"8","OBL","2011","person",3833.469884999
"9","OTH","2011","person",4704.448187655
"10","PAK","2011","person",33369.698467972
"11","WBI","2011","person",505521.0921724
"12","WHO","2011","person",29791.487083174
"13","BAN","2012","person",12823.3631127914
"14","BLA","2012","person",21078.4391380278
"15","BLC","2012","person",6270.83147780405
"16","CHI","2012","person",4788.07568924411
"17","IND","2012","person",26808.3474939653
"18","MIX","2012","person",36833.4668678176
"19","OAS","2012","person",13623.3611891984
"20","OBL","2012","person",3782.84122917566
"21","OTH","2012","person",4739.00626571068
"22","PAK","2012","person",33184.5165534991
"23","WBI","2012","person",494387.496180905
"24","WHO","2012","person",30027.5109440559
"25","BAN","2013","person",12625.9083623415
"26","BLA","2013","person",20862.0676724144
"27","BLC","2013","person",6042.07695484069
"28","CHI","2013","person",5151.97218755494
"29","IND","2013","person",26643.7013782547
"30","MIX","2013","person",36646.400767671
"31","OAS","2013","person",13507.2130362917
"32","OBL","2013","person",3722.77017814486
"33","OTH","2013","person",4760.29681274424
"34","PAK","2013","person",32895.0279633585
"35","WBI","2013","person",481079.8272576
"36","WHO","2013","person",30152.7393996335
"37","BAN","2014","person",12821.7598770158
"38","BLA","2014","person",21327.3124962909
"39","BLC","2014","person",6006.01422774917
"40","CHI","2014","person",5625.56908107473
"41","IND","2014","person",27102.2400736056
"42","MIX","2014","person",37412.3748990818
"43","OAS","2014","person",13795.639230324
"44","OBL","2014","person",3783.30559546083
"45","OTH","2014","person",4906.382562536
"46","PAK","2014","person",33499.4678370783
"47","WBI","2014","person",479632.024118808
"48","WHO","2014","person",31067.8298867905
"49","BAN","2015","person",13161.2729817206
"50","BLA","2015","person",22030.9386440625
"51","BLC","2015","person",6042.85717107229
"52","CHI","2015","person",6077.26964553179
"53","IND","2015","person",27597.4322175289
"54","MIX","2015","person",38378.1217418113
"55","OAS","2015","person",14192.3644131252
"56","OBL","2015","person",3889.1340141925
"57","OTH","2015","person",5072.3274185459
"58","PAK","2015","person",34324.2841205397
"59","WBI","2015","person",480751.07771649
"60","WHO","2015","person",32099.1985563501
"61","BAN","2016","person",13552.235086621
"62","BLA","2016","person",22797.8757008204
"63","BLC","2016","person",6102.47463566647
"64","CHI","2016","person",6526.72780130075
"65","IND","2016","person",28126.314593584
"66","MIX","2016","person",39445.978872091
"67","OAS","2016","person",14638.3128695062
"68","OBL","2016","person",4013.86274851067
"69","OTH","2016","person",5251.06339652991
"70","PAK","2016","person",35283.559835404
"71","WBI","2016","person",483167.540028602
"72","WHO","2016","person",33180.1742922567
"73","BAN","2017","person",13945.4553321029
"74","BLA","2017","person",23552.1014362872
"75","BLC","2017","person",6160.35160198922
"76","CHI","2017","person",6943.39036363011
"77","IND","2017","person",28595.5330499366
"78","MIX","2017","person",40461.2546199066
"79","OAS","2017","person",15082.2684995572
"80","OBL","2017","person",4142.63088500717
"81","OTH","2017","person",5423.69337730157
"82","PAK","2017","person",36254.908951733
"83","WBI","2017","person",484843.324036404
"84","WHO","2017","person",34180.0191114056
"85","BAN","2018","person",14329.6453792317
"86","BLA","2018","person",24279.4072595674
"87","BLC","2018","person",6212.66879407506
"88","CHI","2018","person",7314.18371277822
"89","IND","2018","person",28992.1760653373
"90","MIX","2018","person",41394.5869207869
"91","OAS","2018","person",15512.0011893409
"92","OBL","2018","person",4272.1769715128
