"","year","ETH.group","sex","births","births_per_capita","births_per_capita_F","births_per_capita_15_45"
"1",2011,"BAN","person",12971.311550917,0.0296423109039166,0.0613268495186227,0.114288042157935
"2",2011,"BAN","M",6643.8425016892,0.0151826470483475,0.0314113131680751,0.0585377776906495
"3",2011,"BAN","F",6327.4690492278,0.0144596638555691,0.0299155363505476,0.0557502644672851
"4",2011,"BLA","F",10354.26179256,0.0105710344620785,0.020516267412523,0.0361832406855169
"5",2011,"BLA","person",21226.236674748,0.0216706206472609,0.0420583481956722,0.0741756434053097
"6",2011,"BLA","M",10871.974882188,0.0110995861851824,0.0215420807831492,0.0379924027197928
"7",2011,"BLC","M",3318.7190780141,0.00560179036845166,0.0104762101687307,0.0235708337164721
"8",2011,"BLC","F",3160.6848362039,0.00533503844614443,0.00997734301783875,0.0224484130633067
"9",2011,"BLC","person",6479.403914218,0.0109368288145961,0.0204535531865695,0.0460192467797788
"10",2011,"CHI","F",2166.20355164049,0.00570612450893974,0.0108292824374256,0.0165244404442329
"11",2011,"CHI","person",4440.717280863,0.0116975552433265,0.0222000289967224,0.0338751029106774
"12",2011,"CHI","M",2274.51372922251,0.00599143073438672,0.0113707465592968,0.0173506624664445
"13",2011,"IND","F",13099.204174122,0.00936436786874506,0.019089336888431,0.0362111597320279
"14",2011,"IND","person",26853.36855695,0.0191969541309273,0.0391331406212835,0.0742328774506568
"15",2011,"IND","M",13754.1643828281,0.00983258626218232,0.0200438037328526,0.0380217177186293
"16",2011,"MIX","M",18893.546939108,0.0158239328621116,0.0316361360535581,0.0691594888380385
"17",2011,"MIX","F",17993.854227722,0.0150704122496301,0.0301296533843412,0.0658661798457513
"18",2011,"MIX","person",36887.40116683,0.0308943451117417,0.0617657894378994,0.13502566868379
"19",2011,"OAS","F",6688.71259675073,0.00814771277340245,0.0159128174509552,0.0277122853266168
"20",2011,"OAS","person",13711.860823339,0.016702811185475,0.0326212757744581,0.0568101849195645
"21",2011,"OAS","M",7023.14822658827,0.00855509841207257,0.0167084583235029,0.0290978995929477
"22",2011,"OBL","F",1869.98530975561,0.00671860162705147,0.0135634266801498,0.0297536397863742
"23",2011,"OBL","M",1963.48457524339,0.00705453170840405,0.0142415980141573,0.0312413217756929
"24",2011,"OBL","person",3833.469884999,0.0137731333354555,0.0278050246943072,0.0609949615620671
"25",2011,"OTH","M",2409.59541318915,0.00438678720155285,0.00983501887345512,0.0179012782708305
"26",2011,"OTH","person",4704.448187655,0.00856467977446032,0.0192017035148409,0.0349501147192404
"27",2011,"OTH","F",2294.85277446585,0.00417789257290747,0.0093666846413858,0.0170488364484099
"28",2011,"PAK","F",16277.9016916937,0.0146148044855223,0.0299866791582967,0.0573809502528405
"29",2011,"PAK","person",33369.698467972,0.0299603491953206,0.0614726922745081,0.117630948018323
"30",2011,"PAK","M",17091.7967762783,0.0153455447097983,0.0314860131162114,0.0602499977654822
"31",2011,"WBI","F",246595.654718244,0.00574441504697079,0.0112941707783768,0.0297845644136516
"32",2011,"WBI","M",258925.437454156,0.00603163579931933,0.0118588793172956,0.0312737926343341
"33",2011,"WBI","person",505521.0921724,0.0117760508462901,0.0231530500956723,0.0610583570479857
"34",2011,"WHO","M",15259.0543596745,0.00626666514062271,0.0119431449824468,0.0186883731907978
"35",2011,"WHO","F",14532.4327234995,0.00596825251487876,0.0113744237928064,0.0177984506579027
"36",2011,"WHO","person",29791.487083174,0.0122349176555015,0.0233175687752532,0.0364868238487005
"37",2012,"BAN","M",6568.06403338095,0.0146017443324551,0.0301407755066943,0.0563897717038039
"38",2012,"BAN","person",12823.3631127914,0.0285081675062219,0.0588462759892604,0.110094316183617
"39",2012,"BAN","F",6255.29907941043,0.0139064231737667,0.028705500482566,0.0537045444798132
"40",2012,"BLA","person",21078.4391380278,0.020769507970466,0.040376203665924,0.0723318796169755
"41",2012,"BLA","F",10282.1654331843,0.0101314673026663,0.0196957091053288,0.0352838437155978
"42",2012,"BLA","M",10796.2737048435,0.0106380406677996,0.0206804945605952,0.0370480359013777
"43",2012,"BLC","M",3211.88929350939,0.00542744643203452,0.0101284399285249,0.0236144383588771
"44",2012,"BLC","person",6270.83147780405,0.0105964430339722,0.0197745731937868,0.0461043796530457
"45",2012,"BLC","F",3058.94218429466,0.00516899660193764,0.00964613326526184,0.0224899412941687
"46",2012,"CHI","M",2452.42901156406,0.00609142246201917,0.0115343541175138,0.0172751161260048
"47",2012,"CHI","person",4788.07568924411,0.0118927771877517,0.0225194532770507,0.0337276076745808
"48",2012,"CHI","F",2335.64667768005,0.00580135472573253,0.0109850991595369,0.0164524915485759
"49",2012,"IND","person",26808.3474939653,0.0185398231271592,0.0377716728417686,0.0721362824795895
"50",2012,"IND","M",13731.1048139822,0.00949600696756935,0.0193464665774912,0.0369478520017409
"51",2012,"IND","F",13077.2426799831,0.00904381615958989,0.0184252062642774,0.0351884304778486
"52",2012,"MIX","M",18865.9220542481,0.0152881195602648,0.030561330659929,0.0666772652488916
"53",2012,"MIX","F",17967.5448135696,0.0145601138669188,0.0291060291999324,0.0635021573798967
"54",2012,"MIX","person",36833.4668678176,0.0298482334271835,0.0596673598598612,0.130179422628788
"55",2012,"OAS","M",6977.81914568698,0.00820659751090293,0.0160367297333304,0.0281348044528952
"56",2012,"OAS","F",6645.5420435114,0.00781580715324087,0.0152730759365052,0.0267950518599001
"57",2012,"OAS","person",13623.3611891984,0.0160224046641438,0.0313098056698356,0.0549298563127954
"58",2012,"OBL","M",1937.55282469973,0.00686746602189986,0.0138546725585766,0.0305863573601215
